2024-11-09 17:33:04,120 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 0.895 seconds, Client IP: 127.0.0.1
2024-11-09 17:33:51,871 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 0.853 seconds, Client IP: 127.0.0.1
2024-11-09 17:37:02,318 - Method: PUT, Path: /update/672f3e3f0be52082ed656538, Status Code: 403, Response Time: 0.958 seconds, Client IP: 127.0.0.1
2024-11-09 17:37:13,820 - Method: PUT, Path: /update/672f3e3f0be52082ed656538, Status Code: 422, Response Time: 0.129 seconds, Client IP: 127.0.0.1
2024-11-09 17:37:24,110 - Method: PUT, Path: /update/672f3e3f0be52082ed656538, Status Code: 403, Response Time: 0.824 seconds, Client IP: 127.0.0.1
2024-11-09 17:38:37,029 - Method: PUT, Path: /update/672f3e3f0be52082ed656538, Status Code: 403, Response Time: 0.922 seconds, Client IP: 127.0.0.1
2024-11-09 17:38:50,519 - Method: PUT, Path: /update/672f3e3f0be52082ed656538, Status Code: 403, Response Time: 0.986 seconds, Client IP: 127.0.0.1
2024-11-09 17:39:26,689 - Method: DELETE, Path: /delete/672f3e3f0be52082ed656538, Status Code: 403, Response Time: 0.859 seconds, Client IP: 127.0.0.1
2024-11-09 17:39:51,517 - Method: DELETE, Path: /delete/672f4fa7f1259de41ab1b2cd, Status Code: 200, Response Time: 0.877 seconds, Client IP: 127.0.0.1
2024-11-09 17:39:55,143 - Method: DELETE, Path: /delete/672f4fa7f1259de41ab1b2cd, Status Code: 500, Response Time: 0.836 seconds, Client IP: 127.0.0.1
2024-11-09 17:42:49,080 - Method: DELETE, Path: /delete/672f4fa7f1259de41ab1b2cd, Status Code: 500, Response Time: 1.578 seconds, Client IP: 127.0.0.1
2024-11-09 17:43:56,622 - Method: DELETE, Path: /delete/672f4fa7f1259de41ab1b2ct, Status Code: 500, Response Time: 0.168 seconds, Client IP: 127.0.0.1
